Departamento de ocurrencia,Implicado,Año,Víctimas fatales
Tolima,Guerrilla-EPL,1989,0
Cesar,Guerrilla-ELN,1989,1
Distrito Capital,Guerrilla-ELN,1992,1
Atlántico,Desconocidos,1992,0
Norte de Santander,Guerrilla-ELN,1992,0
Antioquia,Guerrilla-CGSB,1992,0
Distrito Capital,Guerrilla-CGSB,1992,0
Distrito Capital,Guerrilla-ELN,1992,0
Arauca,Guerrilla-ELN,1993,0
Antioquia,Desconocidos,1993,0
Santander,Guerrilla-FARC,1996,0
Santander,Guerrilla-ELN,1996,0
Antioquia,Guerrilla-ELN,1997,5
Antioquia,Guerrilla-FARC,1997,10
Norte de Santander,Guerrilla-ELN,1997,1
Santander,Desconocidos,1997,0
Santander,Guerrilla-EPL,1998,0
Distrito Capital,Desconocidos,1999,0
Distrito Capital,Guerrilla-FARC,1999,0
Antioquia,Guerrilla-FARC,1999,6
Antioquia,Guerrilla-FARC,1999,0
Antioquia,Guerrilla-ELN,1999,0
Putumayo,Guerrilla-FARC,1999,6
Cundinamarca,Desconocidos,2000,1
Cundinamarca,Guerrilla-FARC,2000,3
Valle del Cauca,Guerrilla- Jaime Bateman Cayón,2000,0
Santander,Desconocidos,2000,2
Putumayo,Desconocidos,2000,1
Arauca,Desconocidos,2001,1
Antioquia,Guerrilla-ELN,2001,3
Antioquia,Guerrilla-ELN,2001,1
Antioquia,Guerrilla-ELN,2001,6
Meta,Guerrilla-FARC,2001,0
Distrito Capital,Guerrilla-FARC,2002,6
Meta,Guerrilla-FARC,2002,1
Meta,Guerrilla-FARC,2002,6
Meta,Guerrilla-FARC,2002,1
Guaviare,Desconocidos,2002,4
Vichada,Guerrilla-FARC,2002,6
Caquetá,Guerrilla-FARC,2002,0
Meta,Guerrilla-FARC,2002,0
Meta,Guerrilla-FARC,2002,10
Atlántico,Guerrilla-FARC,2002,4
Valle del Cauca,Grupos Paramilitares,2002,3
Antioquia,Guerrilla-FARC,2002,1
Antioquia,Guerrilla-FARC,2002,9
Cauca,Guerrilla-FARC,2002,0
Antioquia,Guerrilla-FARC,2002,0
Cundinamarca,Guerrilla-FARC,2002,0
Arauca,Guerrilla-FARC,2002,2
Norte de Santander,Guerrilla-FARC,2002,0
Meta,Guerrilla-FARC,2002,0
Cesar,Guerrilla-FARC,2002,0
Huila,Guerrilla-FARC,2002,1
Arauca,Desconocidos,2003,4
Distrito Capital,Guerrilla-FARC,2003,36
Caquetá,Guerrilla-FARC,2003,1
Antioquia,Desconocidos,2003,4
Huila,Guerrilla-FARC,2003,1
Caquetá,Guerrilla-FARC,2003,1
Arauca,Desconocidos,2003,0
Arauca,Desconocidos,2003,5
Cundinamarca,Desconocidos,2003,1
Meta,Desconocidos,2003,1
Boyacá,Desconocidos,2003,1
Caquetá,Guerrilla-FARC,2003,15
Distrito Capital,Desconocidos,2003,6
Antioquia,Guerrilla-FARC,2003,7
Caquetá,Guerrilla-FARC,2003,3
Atlántico,Desconocidos,2003,1
Arauca,Guerrilla-FARC,2004,2
Antioquia,Desconocidos,2004,1
Antioquia,Desconocidos,2004,2
Tolima,Guerrilla-FARC,2005,0
Bolívar ,Guerrilla-FARC,2005,0
Arauca,Guerrilla-FARC,2005,1
Caquetá,Grupos Paramilitares,2005,1
Huila,Guerrilla-FARC,2007,0
Cesar,Desconocidos,2008,5
Distrito Capital,Guerrilla-FARC,2010,0
Tolima,Guerrilla-FARC,2010,3
Cauca,Guerrilla-FARC,2011,2
Cauca,Guerrilla-FARC,2011,2
Valle del Cauca,Guerrilla-FARC,2011,0
Norte de Santander,Guerrilla-FARC,2012,3
Nariño,Guerrilla-FARC,2012,0 
Nariño,Guerrilla-FARC,2012,0
Cauca,Guerrilla-FARC,2012,6
Cauca,Guerrilla-FARC,2012,0
Norte de Santander,Guerrilla-FARC,2012,0 
Cauca,Guerrilla-FARC,2012,0
Nariño,Guerrilla-FARC,2012,0
Huila,Guerrilla-FARC,2012,0
Meta,Guerrilla-FARC,2012,6
Cauca,Guerrilla-FARC,2012,0
