Directorio,¿Juega videojuegos?,¿Con qué frecuencia?
3086229,2,0
3086230,2,0
3086230,2,0
3086231,2,0
3086238,1,3
3086238,2,0
3086239,2,0
3086239,2,0
3086239,2,0
3086239,2,0
3086241,2,0
3086241,2,0
3086242,2,0
3086242,2,0
3086244,1,2
3086244,2,0
3086244,2,0
3086245,2,0
3086245,2,0
3086245,2,0
3086247,2,0
3086247,2,0
3086249,2,0
3086250,1,1
3086250,1,2
3086252,2,0
3086252,2,0
3086253,1,2
3086253,1,2
3086253,1,3
3086255,1,1
3086255,1,1
3086255,1,2
3086255,2,0
3086255,2,0
3086255,2,0
3086255,2,0
3086255,2,0
3086256,2,0
3086256,2,0
3086257,2,0
3086257,2,0
3086257,2,0
3086258,1,4
3086258,2,0
3086258,2,0
3086258,2,0
3086259,2,0
3086259,2,0
3086261,2,0
3086261,2,0
3086261,2,0
3086263,1,3
3086263,1,3
3086265,2,0
3086265,2,0
3086268,2,0
3086269,2,0
3086270,2,0
3086270,2,0
3086270,2,0
3086270,2,0
3086270,2,0
3086272,2,0
3086272,2,0
3086272,2,0
3086273,2,0
3086273,2,0
3086275,2,0
3086275,2,0
3086275,2,0
3086275,2,0
3086275,2,0
3086276,1,1
3086276,1,1
3086276,2,0
3086276,2,0
3086276,2,0
3086277,1,1
3086277,2,0
3086277,2,0
3086277,2,0
3086278,2,0
3086278,2,0
3086278,2,0
3086278,2,0
3086279,2,0
3086279,2,0
3086280,2,0
3086280,2,0
3086280,2,0
3086281,2,0
3086281,2,0
3086281,2,0
3086282,2,0
3086283,1,1
3086283,1,2
3086283,1,4
3086283,2,0
3086284,1,1
3086284,1,2
3086284,2,0
3086284,2,0
3086285,2,0
3086285,2,0
3086286,2,0
3086289,2,0
3086289,2,0
3086289,2,0
3086291,1,4
3086291,2,0
3086291,2,0
3086293,2,0
3086293,2,0
3086293,2,0
3086294,2,0
3086294,2,0
3086296,2,0
3086296,2,0
3086298,1,2
3086298,1,3
3086298,2,0
3086298,2,0
3086300,2,0
3086302,1,1
3086302,1,3
3086302,2,0
3086304,2,0
3086304,2,0
3086305,2,0
3086306,2,0
3086307,2,0
3086307,2,0
3086307,2,0
3086309,2,0
3086310,2,0
3086310,2,0
3086311,2,0
3086311,2,0
3086312,2,0
3086312,2,0
3086312,2,0
3086312,2,0
3086313,2,0
3086313,2,0
3086314,1,2
3086314,2,0
3086314,2,0
3086316,1,3
3086316,1,4
3086317,1,2
3086317,1,2
3086317,1,2
3086317,2,0
3086317,2,0
3086320,1,3
3086320,2,0
3086321,2,0
3086321,2,0
3086321,2,0
3086321,2,0
3086322,2,0
3086322,2,0
3086323,2,0
3086323,2,0
3086324,1,2
3086324,2,0
3086325,2,0
3086325,2,0
3086325,2,0
3086329,2,0
3086329,2,0
3086329,2,0
3086330,1,3
3086330,2,0
3086331,2,0
3086331,2,0
3086331,2,0
3086332,2,0
3086334,1,2
3086334,2,0
3086335,2,0
3086335,2,0
3086335,2,0
3086337,2,0
3086338,1,2
3086338,2,0
3086339,2,0
3086339,2,0
3086339,2,0
3086340,2,0
3086340,2,0
3086340,2,0
3086340,2,0
3086340,2,0
3086341,1,2
3086341,1,2
3086342,2,0
3086342,2,0
3086343,2,0
3086344,2,0
3086344,2,0
3086345,1,2
3086345,2,0
3086346,1,2
3086346,1,2
3086346,2,0
3086346,2,0
3086346,2,0
3086346,2,0
3086347,1,2
3086347,1,2
3086347,2,0
3086347,2,0
3086347,2,0
3086347,2,0
3086347,2,0
3086347,2,0
3086347,2,0
3086348,1,2
3086348,2,0
3086348,2,0
3086348,2,0
3086348,2,0
3086349,1,2
3086349,1,2
3086349,1,3
3086349,2,0
3086349,2,0
3086350,2,0
3086350,2,0
3086351,2,0
3086351,2,0
3086352,2,0
3086352,2,0
3086352,2,0
3086353,1,4
3086353,2,0
3086353,2,0
3086354,2,0
3086354,2,0
3086358,2,0
3086360,2,0
3086361,2,0
3086364,2,0
3086364,2,0
3086364,2,0
3086364,2,0
3086365,1,2
3086365,2,0
3086365,2,0
3086365,2,0
3086366,2,0
3086366,2,0
3086367,2,0
3086367,2,0
3086368,2,0
3086368,2,0
3086370,2,0
3086370,2,0
3086370,2,0
3086370,2,0
3086371,2,0
3086371,2,0
3086372,1,2
3086372,2,0
3086373,2,0
3086373,2,0
3086373,2,0
3086374,2,0
3086374,2,0
3086374,2,0
3086374,2,0
3086375,2,0
3086375,2,0
3086375,2,0
3086376,1,3
3086377,2,0
3086377,2,0
3086378,1,3
3086378,2,0
3086378,2,0
3086378,2,0
3086380,1,1
3086381,1,2
3086381,2,0
3086381,2,0
3086383,2,0
3086383,2,0
3086383,2,0
3086384,1,2
3086384,1,3
3086384,2,0
3086384,2,0
3086384,2,0
3086385,2,0
3086385,2,0
3086385,2,0
3086385,2,0
3086385,2,0
3086385,2,0
3086387,1,2
3086387,2,0
3086387,2,0
3086387,2,0
3086388,2,0
3086388,2,0
3086389,2,0
3086389,2,0
3086391,1,3
3086391,2,0
3086391,2,0
3086391,2,0
3086394,2,0
3086394,2,0
3086394,2,0
3086394,2,0
3086394,2,0
3086394,2,0
3086395,1,1
3086395,1,3
3086395,2,0
3086396,2,0
3086396,2,0
3086396,2,0
3086396,2,0
3086397,2,0
3086397,2,0
3086398,1,3
3086398,2,0
3086399,1,1
3086399,1,1
3086399,1,4
3086401,2,0
3086401,2,0
3086402,2,0
3086402,2,0
3086406,1,2
3086406,2,0
3086406,2,0
3086406,2,0
3086407,1,2
3086407,2,0
3086407,2,0
3086408,1,2
3086409,1,2
3086409,2,0
3086409,2,0
3086410,2,0
3086410,2,0
3086411,2,0
3086411,2,0
3086411,2,0
3086412,2,0
3086412,2,0
3086413,2,0
3086413,2,0
3086414,2,0
3086414,2,0
3086414,2,0
3086416,1,2
3086416,1,4
3086416,2,0
3086418,1,2
3086418,1,2
3086418,2,0
3086418,2,0
3086418,2,0
3086419,1,2
3086419,1,2
3086419,2,0
3086419,2,0
3086419,2,0
3086419,2,0
3086420,2,0
3086423,2,0
3086423,2,0
3086424,2,0
3086424,2,0
3086425,1,2
3086425,2,0
3086425,2,0
3086425,2,0
3086427,2,0
3086427,2,0
3086427,2,0
3086427,2,0
3086427,2,0
3086427,2,0
3086429,2,0
3086429,2,0
3086429,2,0
3086429,2,0
3086429,2,0
3086430,1,1
3086430,2,0
3086430,2,0
3086430,2,0
3086431,2,0
3086431,2,0
3086431,2,0
3086431,2,0
3086432,1,2
3086432,2,0
3086432,2,0
3086432,2,0
3086433,2,0
3086433,2,0
3086434,2,0
3086434,2,0
3086434,2,0
3086434,2,0
3086434,2,0
3086436,2,0
3086436,2,0
3086437,2,0
3086437,2,0
3086437,2,0
3086438,2,0
3086438,2,0
3086438,2,0
3086438,2,0
3086439,1,2
3086439,2,0
3086439,2,0
3086439,2,0
3086440,2,0
3086442,2,0
3086442,2,0
3086443,2,0
3086443,2,0
3086444,2,0
3086444,2,0
3086444,2,0
3086444,2,0
3086445,1,1
3086445,1,2
3086445,1,2
3086445,2,0
3086446,2,0
3086446,2,0
3086447,2,0
3086448,2,0
3086448,2,0
3086449,2,0
3086449,2,0
3086449,2,0
3086450,2,0
3086451,2,0
3086451,2,0
3086451,2,0
3086451,2,0
3086451,2,0
3086452,2,0
3086452,2,0
3086452,2,0
3086453,1,1
3086453,2,0
3086453,2,0
3086454,2,0
3086454,2,0
3086454,2,0
3086454,2,0
3086455,2,0
3086455,2,0
3086455,2,0
3086456,1,2
3086456,2,0
3086456,2,0
3086456,2,0
3086457,2,0
3086457,2,0
3086457,2,0
3086458,2,0
3086459,2,0
3086459,2,0
3086459,2,0
3086460,2,0
3086460,2,0
3086460,2,0
3086461,2,0
3086461,2,0
3086462,1,3
3086463,2,0
3086464,2,0
3086464,2,0
3086464,2,0
3086464,2,0
3086465,1,4
3086466,1,4
3086466,2,0
3086467,2,0
3086467,2,0
3086468,2,0
3086469,2,0
3086470,2,0
3086470,2,0
3086471,1,3
3086471,2,0
3086471,2,0
3086471,2,0
3086471,2,0
3086472,1,1
3086472,1,3
3086472,2,0
3086472,2,0
3086472,2,0
3086472,2,0
3086474,2,0
3086474,2,0
3086474,2,0
3086474,2,0
3086474,2,0
3086475,2,0
3086475,2,0
3086477,1,3
3086477,2,0
3086478,2,0
3086479,2,0
3086479,2,0
3086479,2,0
3086479,2,0
3086480,2,0
3086480,2,0
3086480,2,0
3086481,2,0
3086481,2,0
3086481,2,0
3086482,1,2
3086482,2,0
3086482,2,0
3086482,2,0
3086482,2,0
3086482,2,0
3086483,1,1
3086483,2,0
3086484,2,0
3086484,2,0
3086485,2,0
3086485,2,0
3086486,2,0
3086487,1,3
3086487,2,0
3086487,2,0
3086487,2,0
3086488,2,0
3086488,2,0
3086489,1,1
3086489,2,0
3086489,2,0
3086491,1,2
3086491,2,0
3086492,2,0
3086493,2,0
3086493,2,0
3086493,2,0
3086493,2,0
3086494,2,0
3086495,2,0
3086495,2,0
3086495,2,0
3086496,2,0
3086496,2,0
3086496,2,0
3086498,2,0
3086499,2,0
3086499,2,0
3086501,1,2
3086501,1,2
3086501,2,0
3086501,2,0
3086502,2,0
3086502,2,0
3086503,2,0
3086503,2,0
3086504,2,0
3086504,2,0
3086505,2,0
3086505,2,0
3086505,2,0
3086505,2,0
3086506,2,0
3086506,2,0
3086506,2,0
3086507,2,0
3086507,2,0
3086508,1,1
3086508,1,1
3086508,1,1
3086508,1,1
3086508,2,0
3086508,2,0
3086509,1,1
3086509,2,0
3086510,2,0
3086510,2,0
3086511,2,0
3086511,2,0
3086511,2,0
3086512,1,1
3086512,2,0
3086512,2,0
3086512,2,0
3086513,2,0
3086513,2,0
3086514,1,1
3086514,1,2
3086514,2,0
3086514,2,0
3086515,2,0
3086515,2,0
3086515,2,0
3086516,1,1
3086516,2,0
3086516,2,0
3086518,2,0
3086518,2,0
3086518,2,0
3086519,2,0
3086519,2,0
3086521,2,0
3086522,2,0
3086522,2,0
3086522,2,0
3086522,2,0
3086523,2,0
3086523,2,0
3086524,2,0
3086524,2,0
3086524,2,0
3086525,2,0
3086525,2,0
3086526,2,0
3086526,2,0
3086526,2,0
3086526,2,0
3086528,2,0
3086528,2,0
3086529,2,0
3086529,2,0
3086530,2,0
3086532,2,0
3086533,2,0
3086534,1,2
3086534,2,0
3086534,2,0
3086534,2,0
3086537,1,2
3086537,2,0
3086537,2,0
3086539,2,0
3086541,1,2
3086541,2,0
3086541,2,0
3086541,2,0
3086544,1,1
3086544,1,2
3086544,2,0
3086544,2,0
3086544,2,0
3086545,2,0
3086546,1,2
3086546,1,2
3086547,1,3
3086547,1,3
3086547,2,0
3086548,2,0
3086548,2,0
3086548,2,0
3086548,2,0
3086549,1,3
3086549,2,0
3086549,2,0
3086550,1,1
3086550,2,0
3086550,2,0
3086551,1,1
3086551,2,0
3086551,2,0
3086551,2,0
3086552,2,0
3086553,1,3
3086553,2,0
3086553,2,0
3086554,1,4
3086554,1,4
3086556,2,0
3086556,2,0
3086556,2,0
3086556,2,0
3086556,2,0
3086556,2,0
3086557,1,1
3086557,2,0
3086557,2,0
3086557,2,0
3086557,2,0
3086559,2,0
3086561,2,0
3086561,2,0
3086561,2,0
3086561,2,0
3086561,2,0
3086561,2,0
3086562,1,4
3086562,2,0
3086563,1,1
3086563,2,0
3086563,2,0
3086565,2,0
3086565,2,0
3086566,2,0
3086567,2,0
3086568,2,0
3086568,2,0
3086568,2,0
3086570,2,0
3086570,2,0
3086570,2,0
3086571,2,0
3086572,1,2
3086572,1,2
3086572,2,0
3086572,2,0
3086573,2,0
3086573,2,0
3086574,2,0
3086574,2,0
3086575,2,0
3086576,2,0
3086576,2,0
3086577,2,0
3086577,2,0
3086577,2,0
3086578,2,0
3086578,2,0
3086579,1,3
3086579,2,0
3086579,2,0
3086580,2,0
3086580,2,0
3086581,1,2
3086581,2,0
3086581,2,0
3086582,2,0
3086583,1,2
3086583,2,0
3086583,2,0
3086584,2,0
3086584,2,0
3086585,2,0
3086585,2,0
3086585,2,0
3086586,1,3
3086586,2,0
3086586,2,0
3086587,2,0
3086587,2,0
3086588,2,0
3086588,2,0
3086588,2,0
3086588,2,0
3086589,2,0
3086589,2,0
3086589,2,0
3086589,2,0
3086590,2,0
3086591,1,1
3086591,1,1
3086591,2,0
3086591,2,0
3086592,1,2
3086592,1,2
3086592,2,0
3086594,2,0
3086594,2,0
3086595,2,0
3086596,2,0
3086597,2,0
3086597,2,0
3086598,2,0
3086598,2,0
3086599,2,0
3086599,2,0
3086599,2,0
3086601,1,4
3086601,2,0
3086602,2,0
3086602,2,0
3086603,2,0
3086603,2,0
3086604,2,0
3086604,2,0
3086605,2,0
3086605,2,0
3086605,2,0
3086607,2,0
3086608,1,1
3086608,1,1
3086608,1,2
3086608,1,2
3086609,1,1
3086609,2,0
3086609,2,0
3086610,2,0
3086611,2,0
3086612,2,0
3086612,2,0
3086612,2,0
3086614,1,2
3086614,2,0
3086614,2,0
3086615,2,0
3086615,2,0
3086615,2,0
3086616,2,0
3086616,2,0
3086617,2,0
3086617,2,0
3086617,2,0
3086618,2,0
3086618,2,0
3086618,2,0
3086619,1,3
3086619,2,0
3086619,2,0
3086619,2,0
3086620,1,2
3086620,1,2
3086620,1,3
3086620,1,3
3086621,2,0
3086621,2,0
3086624,1,2
3086624,1,2
3086625,1,1
3086625,2,0
3086625,2,0
3086626,1,3
3086627,1,1
3086627,1,2
3086627,1,4
3086628,2,0
3086628,2,0
3086629,1,2
3086629,1,3
3086630,1,1
3086630,1,2
3086630,1,3
3086631,2,0
3086631,2,0
3086634,2,0
3086635,1,2
3086635,1,3
3086635,2,0
3086636,2,0
3086636,2,0
3086638,2,0
3086639,1,3
3086640,1,1
3086640,1,1
3086640,1,2
3086640,1,2
3086640,2,0
3086640,2,0
3086641,2,0
3086643,2,0
3086643,2,0
3086644,1,3
3086645,2,0
3086645,2,0
3086645,2,0
3086645,2,0
3086646,2,0
3086646,2,0
3086646,2,0
3086646,2,0
3086647,2,0
3086647,2,0
3086647,2,0
3086648,2,0
3086648,2,0
3086648,2,0
3086648,2,0
3086648,2,0
3086648,2,0
3086649,2,0
3086650,2,0
3086650,2,0
3086651,2,0
3086651,2,0
3086652,2,0
3086652,2,0
3086652,2,0
3086652,2,0
3086653,1,4
3086653,2,0
3086653,2,0
3086653,2,0
3086655,1,1
3086655,2,0
3086656,2,0
3086657,1,2
3086657,1,2
3086657,1,2
3086657,1,2
3086657,2,0
3086657,2,0
3086657,2,0
3086658,2,0
3086659,1,2
3086659,2,0
3086660,2,0
3086661,2,0
3086661,2,0
3086662,1,2
3086662,1,4
3086662,1,4
